# TOPAS Simulation Output - Spherical Coordinates
# Scorer: FluenceScorer
# Unit: particles/cm^2
# Coordinate System: Spherical (r, theta, phi)
# r (cm), theta (rad), phi (rad), Fluence
1.0,0.0,0.0,1.234e08
1.0,0.785398,0.0,2.456e08
1.0,1.570796,0.0,3.678e08
1.0,0.785398,0.785398,4.890e08
1.0,0.785398,1.570796,5.012e08
2.0,0.0,0.0,6.234e08
2.0,0.785398,0.0,7.456e08
2.0,1.570796,0.0,8.678e08
2.0,0.785398,1.570796,9.890e08
1.5,0.523599,0.785398,5.567e08
1.5,1.047198,1.570796,6.678e08
0.5,0.785398,0.0,1.123e08
0.5,0.785398,1.570796,2.234e08
3.0,0.261799,0.0,3.345e08
3.0,1.308997,3.141593,4.456e08
