# TOPAS Simulation Output
# Scorer: DoseScorer
# Unit: Gy
# Coordinate System: Cartesian
# X, Y, Z, Dose
0.0,0.0,0.0,1.234e-10
1.0,0.0,0.0,2.456e-10
0.0,1.0,0.0,3.678e-10
0.0,0.0,1.0,4.890e-10
1.0,1.0,0.0,5.012e-10
1.0,0.0,1.0,6.234e-10
0.0,1.0,1.0,7.456e-10
1.0,1.0,1.0,8.678e-10
2.0,0.0,0.0,1.890e-10
0.0,2.0,0.0,2.012e-10
0.0,0.0,2.0,3.234e-10
2.0,2.0,0.0,4.456e-10
2.0,0.0,2.0,5.678e-10
0.0,2.0,2.0,6.890e-10
2.0,2.0,2.0,9.012e-10
-1.0,0.0,0.0,1.123e-10
0.0,-1.0,0.0,2.234e-10
0.0,0.0,-1.0,3.345e-10
-1.0,-1.0,0.0,4.456e-10
1.5,1.5,1.5,7.789e-10
-0.5,0.5,0.5,3.321e-10
0.5,-0.5,0.5,4.432e-10
0.5,0.5,-0.5,5.543e-10
